V11	V8	n
24250	MSH2	2
24251	MSH2	1
24252	MSH2	1
24254	MSH2	1
24257	MSH2	1
24258	MSH2	1
24259	MSH2	1
24261	MSH2	1
24262	MSH2	1
24264	MSH6	2
24265	MSH6	1
24266	MSH6	1
24267	MSH6	3
24268	MSH6	2
24269	MSH6	2
24270	MSH6	1
24271	MSH6	3
24272	MSH6	3
24273	MSH6	1
24275	BARD1	1
24276	BARD1	2
24277	BARD1	2
24278	BARD1	5
24279	BARD1	4
24280	BARD1	4
24281	BARD1	4
24282	BARD1	3
24283	BARD1	3
24284	BARD1	1
24290	MLH1	1
24292	MLH1	1
24293	MLH1	1
24294	MLH1	1
24297	MLH1	1
24298	MLH1	2
24317	BAP1	1
24321	APC	2
24328	APC	3
24329	APC	5
24330	APC	5
24331	APC	5
24332	APC	5
24333	APC	5
24334	APC	4
24336	APC	3
24337	PMS2	1
24338	PMS2	2
24339	PMS2	1
24340	PMS2	2
24347	PMS2	1
24350	NBN	1
24353	NBN	1
24354	NBN	1
24355	NBN	4
24356	NBN	4
24357	NBN	2
24358	NBN	3
24359	NBN	2
24360	NBN	1
24362	NBN	1
24364	CDKN2A	1
24365	CDKN2A	1
24366	CDKN2A	1
24368	BMPR1A	2
24369	BMPR1A	3
24372	BMPR1A	1
24378	BMPR1A	1
24381	PTEN	3
24382	PTEN	3
24383	PTEN	1
24384	PTEN	2
24387	PTEN	1
24388	PTEN	2
24389	PTEN	2
24392	ATM	1
24394	ATM	1
24395	ATM	2
24396	ATM	1
24404	ATM	1
24405	ATM	1
24407	ATM	1
24411	ATM	2
24413	ATM	1
24420	ATM	1
24437	ATM	1
24440	ATM	1
24443	ATM	1
24444	ATM	3
24445	ATM	3
24446	ATM	3
24447	ATM	2
24448	ATM	3
24449	ATM	2
24453	CDK4	1
24457	CDK4	1
24461	BRCA2	1
24462	BRCA2	1
24463	BRCA2	1
24465	BRCA2	1
24466	BRCA2	1
24467	BRCA2	1
24480	BRCA2	1
24484	BRCA2	2
24486	BRCA2	1
24487	BRCA2	2
24490	PALB2	1
24500	PALB2	2
24501	CDH1	1
24513	CDH1	1
24517	TP53	4
24518	TP53	2
24519	TP53	4
24520	TP53	2
24521	TP53	2
24522	TP53	3
24523	TP53	2
24524	TP53	2
24525	TP53	3
24526	TP53	2
24527	TP53	2
24530	RAD51D	1
24536	RAD51D	2
24538	RAD51C	2
24539	RAD51C	1
24540	RAD51C	2
24541	RAD51C	1
24543	RAD51C	1
24553	BRIP1	3
24555	BRIP1	1
24557	BRIP1	3
24558	BRIP1	2
24559	BRIP1	2
24560	BRIP1	2
24561	BRIP1	1
24565	BRIP1	1
24566	BRIP1	3
24567	SMAD4	2
24579	STK11	2
24580	STK11	1
24592	CHEK2	1
24594	CHEK2	3
24596	CHEK2	1
24598	CHEK2	2
24600	CHEK2	1
24601	CHEK2	1
24603	CHEK2	2
24620	EPCAM	1
24749	BMPR1A	1
24803	ATM	1
24882	CDH1	1
25463	MLH1	1
25498	BAP1	1
25541	NBN	1
25614	ATM	1
25722	RAD51C	3
25751	SMAD4	1
25774	CHEK2	1
26239	BARD1	1
26248	MLH1	1
26314	NBN	1
26326	NBN	1
26347	PTEN	2
26431	BRCA2	1
26436	BRCA2	2
26520	BRIP1	2
26525	BRIP1	2
26528	BRIP1	2
26657	BAP1	1
27116	BMPR1A	1
27176	ATM	1
